,TRIP.CODE,HAUL.CODE,YEAR,Gear.Class,MESH.SIZE.RANGE,TargetAssemblage,metier5,metier6,CHECK
22279,NN123BT,20,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
22346,BM723BT,29,2023,TBB,100-119,DEF,TBB_DEF,TBB_DEF_100-119,1
22472,NN123BT,26,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
22812,NN123BT,21,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
22928,BM723BT,31,2023,TBB,100-119,DEF,TBB_DEF,TBB_DEF_100-119,1
22955,NN123BT,22,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23086,NN123BT,23,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23166,BM723BT,6,2023,TBB,100-119,DEF,TBB_DEF,TBB_DEF_100-119,1
23406,BM723BT,15,2023,TBB,100-119,DEF,TBB_DEF,TBB_DEF_100-119,1
23432,BM723BT,18,2023,TBB,100-119,DEF,TBB_DEF,TBB_DEF_100-119,1
23590,BM723BT,10,2023,TBB,100-119,DEF,TBB_DEF,TBB_DEF_100-119,1
23650,NN123BT,13,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23666,BM723BT,19,2023,TBB,100-119,DEF,TBB_DEF,TBB_DEF_100-119,1
23907,BM723BT,14,2023,TBB,100-119,DEF,TBB_DEF,TBB_DEF_100-119,1
24077,BM723BT,11,2023,TBB,100-119,DEF,TBB_DEF,TBB_DEF_100-119,1
24110,BM723BT,5,2023,TBB,100-119,DEF,TBB_DEF,TBB_DEF_100-119,1
24412,NN123BT,25,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
24469,NN123BT,6,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
24760,NN123BT,7,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
25364,BM723BT,2,2023,TBB,100-119,DEF,TBB_DEF,TBB_DEF_100-119,1
25728,BM723BT,32,2023,TBB,100-119,DEF,TBB_DEF,TBB_DEF_100-119,1
25754,NN123BT,14,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
25800,NN123BT,15,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27177,AX323HL,1,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
27196,BM823BT,38,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27208,BM823BT,37,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27213,BM823BT,6,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27247,BM823BT,42,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27263,BM823BT,43,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27267,BM823BT,44,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27430,BM823BT,23,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27464,BM823BT,8,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27479,BM823BT,5,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27560,BM823BT,22,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27635,BM823BT,13,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27958,BM823BT,28,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27960,BM823BT,14,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28060,BM823BT,36,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28104,BM823BT,24,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28687,BM823BT,1,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28837,BM823BT,17,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28893,BM823BT,30,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28894,BM823BT,31,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
29018,BM823BT,18,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
29246,BM823BT,19,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
30377,TY123OT,1,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
30477,TY123OT,2,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
30517,NN223GN,8,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
30518,NN223GN,10,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
30522,NN223GN,6,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
30566,NN223GN,11,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
30621,NN223GN,9,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
30679,NN223GN,7,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
30756,NN223GN,4,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
30853,NN223GN,5,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
30950,NN223GN,13,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
30966,NN223GN,12,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
31488,NY123GN,1,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
31490,NY123GN,2,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
31502,NY123GN,3,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
31518,KN123BS,7,2023,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
31523,KN123BS,1,2023,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
31529,KN123BS,6,2023,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
31740,PH223OT,10,2023,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
31805,BM323BT,4,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
31812,BM323BT,15,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
31814,BM323BT,12,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
31815,BM323BT,1,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
31865,PH223OT,4,2023,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
31889,BM323BT,10,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
31944,BM323BT,5,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
32025,BM323BT,11,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
32054,BM323BT,6,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
32141,PH223OT,5,2023,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
32172,BM323BT,9,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
32334,WB123GN,4,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
32705,WB123GN,5,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
32709,WB123GN,6,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
32715,WB123GN,7,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
