,TRIP.CODE,HAUL.CODE,YEAR,Gear.Class,MESH.SIZE.RANGE,TargetAssemblage,metier5,metier6,CHECK
43734,HD423GN,8,2023,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
43746,HD423GN,1,2023,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
43769,HD423GN,7,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
43770,HD423GN,3,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
43772,HD423GN,4,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
43906,HD223GN,4,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
43907,HD223GN,1,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
43916,HD223GN,5,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
43930,HD223GN,2,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
43944,HD223GN,6,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
43963,HD223GN,3,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
44091,NS223NT,1,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
44224,NS223NT,2,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
44346,NS1623NT,3,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
44356,NS1623NT,4,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
44442,NS1523NT,2,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
44454,NS1523NT,1,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
44542,NS1423NT,2,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
44548,NS1423NT,1,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
44642,NS1323NT,1,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
44760,NS1323NT,2,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
44876,NS123NT,2,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
44896,NS123NT,1,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
45146,NS1223NT,2,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
45225,NS1123NT,1,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
45298,NS1123NT,4,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
45485,NS1023NT,2,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
45590,NS1023NT,1,2023,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
45750,NN823OT,1,2023,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
45770,NN823OT,2,2023,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
46045,NN723OT,1,2023,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
46056,NN723OT,3,2023,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
